,,,,Latitude,Longitude,,,,,,,id,TD
4134,DM,2018-11-09 5:47:40,1541695660,-38.13651,176.24025,,269,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",10,4142
4135,DM,2018-11-09 6:56:42,1541699802,-38.13657,176.24005,,,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",10,296
4136,DM,2018-11-09 7:01:38,1541700098,-38.13672,176.24505,,,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",10,304
4137,DM,2018-11-09 7:06:42,1541700402,-38.13684,176.25214,633.8853453,286.7468405,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",10,296
4138,DM,2018-11-09 7:11:38,1541700698,-38.13681,176.25209,,296,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",10,301
4139,DM,2018-11-09 7:16:39,1541700999,-38.13675,176.25208,,323,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",10,291
2848,CM,2018-11-09 7:21:30,1541701290,-38.15218,176.29231,,335,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",7,254
2849,CM,2018-11-09 7:25:44,1541701544,-38.15218,176.29233,,338,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",7,300
2850,CM,2018-11-09 7:30:44,1541701844,-38.15213,176.2923,,,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",7,300
2851,CM,2018-11-09 7:35:44,1541702144,-38.14951,176.27985,,,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",7,230
4140,DM,2018-11-09 7:39:34,1541702374,-38.13678,176.25352,,,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",10,66
2852,CM,2018-11-09 7:40:40,1541702440,-38.14738,176.26807,,,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",7,116
8002,NM,2018-11-09 7:42:36,1541702556,-38.1348,176.25931,,341,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",17,10
13526,WG,2018-11-09 7:42:46,1541702566,-38.14513,176.26369,,,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",26,108
4141,DM,2018-11-09 7:44:34,1541702674,-38.13515,176.26021,,302,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",10,65
2853,CM,2018-11-09 7:45:39,1541702739,-38.13982,176.25835,,,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",7,9
13527,WG,2018-11-09 7:45:48,1541702748,-38.1396,176.25858,,,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",26,207
4142,DM,2018-11-09 7:49:15,1541702955,-38.13509,176.26051,,317,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",10,110
13528,WG,2018-11-09 7:51:05,1541703065,-38.13483,176.25917,,,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",26,36
8003,NM,2018-11-09 7:51:41,1541703101,-38.13486,176.25917,,296,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",17,149
4143,DM,2018-11-09 7:54:10,1541703250,-38.13486,176.25914,,,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",10,64
10003,PM,2018-11-09 7:55:14,1541703314,-38.1348,176.25916,,,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",21,17
2854,CM,2018-11-09 7:55:31,1541703331,-38.13485,176.25904,,,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",7,219
4144,DM,2018-11-09 7:59:10,1541703550,-38.13486,176.25914,,296,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",10,60
10004,PM,2018-11-09 8:00:10,1541703610,-38.1348,176.25917,1.753390172,291.6271181,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",21,21
2855,CM,2018-11-09 8:00:31,1541703631,-38.13489,176.25913,5.260273041,291.6813558,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",7,11
13529,WG,2018-11-09 8:00:42,1541703642,-38.13458,176.25922,0,291.6,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",26,53
8004,NM,2018-11-09 8:01:35,1541703695,-38.13496,176.25914,4.383580246,291.6677968,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",17,154
4145,DM,2018-11-09 8:04:09,1541703849,-38.13492,176.2547,,293,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",10,64
10005,PM,2018-11-09 8:05:13,1541703913,-38.13495,176.24884,924.8146502,294.7416431,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",21,18
2856,CM,2018-11-09 8:05:31,1541703931,-38.13493,176.24797,1001.104278,296.8374849,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",7,6
13530,WG,2018-11-09 8:05:37,1541703937,-38.13496,176.24997,825.7403656,292.0198573,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",26,210
4146,DM,2018-11-09 8:09:07,1541704147,-38.13041,176.24379,1546.2,291.4,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",10,88
13531,WG,2018-11-09 8:10:35,1541704235,-38.12909,176.24242,1546.2,291.4,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",26,43
8005,NM,2018-11-09 8:11:18,1541704278,-38.12858,176.23991,1948.8,288.1,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",17,169
4147,DM,2018-11-09 8:14:07,1541704447,-38.12599,176.23564,2848.253015,289.5054049,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",10,65
10006,PM,2018-11-09 8:15:12,1541704512,-38.12581,176.23576,2869.258369,289.331758,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",21,16
2857,CM,2018-11-09 8:15:28,1541704528,-38.12401,176.23517,3073.894985,290.910425,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",7,7
13532,WG,2018-11-09 8:15:35,1541704535,-38.1248,176.23538,2984.302998,290.1918753,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",26,209
4148,DM,2018-11-09 8:19:04,1541704744,-38.11439,176.2316,4216.308363,287.5674421,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",10,54
1858,BP,2018-11-09 8:19:58,1541704798,-38.12602,176.23569,2845.41946,289.5288293,Check-in/OK,"Here I am, out there safe and sound. Thinking of you all.",SPOT Device,"(UTC+12:00) Auckland, Wellington",5,8
10007,PM,2018-11-09 8:20:06,1541704806,-38.11268,176.23074,4420.550517,287.1694566,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",21,20
2858,CM,2018-11-09 8:20:26,1541704826,-38.10895,176.22876,4869.561892,286.2947958,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",7,8
13533,WG,2018-11-09 8:20:34,1541704834,-38.11198,176.23041,4503.448154,287.0079225,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",26,44
8006,NM,2018-11-09 8:21:18,1541704878,-38.10927,176.22901,4828.470858,286.3748657,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",17,166
4149,DM,2018-11-09 8:24:04,1541705044,-38.10139,176.22499,5771.618256,285.5395937,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",10,62
10008,PM,2018-11-09 8:25:06,1541705106,-38.10109,176.22482,5808.092965,285.5760015,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",21,20
2859,CM,2018-11-09 8:25:26,1541705126,-38.09367,176.22104,6653.7,284.5,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",7,6
13534,WG,2018-11-09 8:25:32,1541705132,-38.1001,176.2243,5927.199168,285.6947605,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",26,211
4150,DM,2018-11-09 8:29:03,1541705343,-38.08795,176.21815,7385.203584,286.3374726,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",10,27
5180,DR/BB,2018-11-09 8:29:30,1541705370,-38.08336,176.21536,7994.204952,287.9506372,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",11,33
10009,PM,2018-11-09 8:30:03,1541705403,-38.08461,176.21638,7787.100249,287.3481941,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",21,25
2860,CM,2018-11-09 8:30:28,1541705428,-38.0817,176.2123,8534.632262,291.2467869,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",7,4
13535,WG,2018-11-09 8:30:32,1541705432,-38.0874,176.21786,7451.336037,286.5037877,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",26,46
8007,NM,2018-11-09 8:31:18,1541705478,-38.08163,176.21176,8582.2801,292.0042533,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",17,225
10010,PM,2018-11-09 8:35:03,1541705703,-38.08351,176.1989,9765.112747,291.5469125,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",21,30
2861,CM,2018-11-09 8:35:33,1541705733,-38.0833,176.18919,10617.92895,299.6772291,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",7,267
10011,PM,2018-11-09 8:40:00,1541706000,-38.08269,176.18433,11109.50036,317.1234298,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",21,33
2862,CM,2018-11-09 8:40:33,1541706033,-38.086,176.17614,11927.17297,339.9676794,Tracking,,SPOT Device,"(UTC+12:00) Auckland, Wellington",7,146
